year,variable,tech,carrier,sample,value
2040,final_energy_MWh,oil,oil,97,0
2040,final_energy_MWh,oil,oil,98,2.55953e+08
2040,final_energy_MWh,oil,oil,99,0
2040,final_energy_MWh,oil,oil,100,0
2040,final_energy_MWh,oil,oil,101,0
2040,final_energy_MWh,oil,oil,102,3.20103e+08
2040,final_energy_MWh,oil,oil,103,2.94369e+08
2040,final_energy_MWh,oil,oil,104,0
2040,final_energy_MWh,oil,oil,105,0
2040,final_energy_MWh,oil,oil,106,0
2040,final_energy_MWh,oil,oil,107,0
2040,final_energy_MWh,oil,oil,108,0
2040,final_energy_MWh,oil,oil,109,0
2040,final_energy_MWh,oil,oil,110,2.9682e+08
2040,final_energy_MWh,oil,oil,111,0
2040,final_energy_MWh,oil,oil,112,2.60155e+08
2040,final_energy_MWh,oil,oil,113,0
2040,final_energy_MWh,oil,oil,114,2.95808e+08
2040,final_energy_MWh,oil,oil,115,0
2040,final_energy_MWh,oil,oil,116,0
2040,final_energy_MWh,oil,oil,117,0
2040,final_energy_MWh,oil,oil,118,0
2040,final_energy_MWh,oil,oil,119,2.53396e+08
2040,final_energy_MWh,oil,oil,120,3.28262e+08
2040,final_energy_MWh,oil,oil,121,3.00114e+08
2040,final_energy_MWh,oil,oil,122,0
2040,final_energy_MWh,oil,oil,123,0
2040,final_energy_MWh,oil,oil,124,0
2040,final_energy_MWh,oil,oil,125,0
2040,final_energy_MWh,oil,oil,126,0
2040,final_energy_MWh,oil,oil,127,0
2040,final_energy_MWh,oil,oil,128,0
2040,final_energy_MWh,oil,oil,129,0
2040,final_energy_MWh,oil,oil,130,0
2040,final_energy_MWh,oil,oil,131,2.8856e+08
2040,final_energy_MWh,oil,oil,132,0
2040,final_energy_MWh,oil,oil,133,0
2040,final_energy_MWh,oil,oil,134,0
2040,final_energy_MWh,oil,oil,135,2.82627e+08
2040,final_energy_MWh,oil,oil,136,2.42546e+08
2040,final_energy_MWh,oil,oil,137,0
2040,final_energy_MWh,oil,oil,138,2.44484e+08
2040,final_energy_MWh,oil,oil,139,0
2040,final_energy_MWh,oil,oil,140,0
2040,final_energy_MWh,oil,oil,141,0
2040,final_energy_MWh,oil,oil,142,0
2040,final_energy_MWh,oil,oil,143,0
2040,final_energy_MWh,oil,oil,144,2.94187e+08
2040,final_energy_MWh,oil,oil,145,0
2040,final_energy_MWh,oil,oil,146,0
2040,final_energy_MWh,oil,oil,147,0
2040,final_energy_MWh,oil,oil,148,0
2040,final_energy_MWh,oil,oil,149,2.66238e+08
2040,final_energy_MWh,oil,oil,150,0
2040,final_energy_MWh,oil,oil,151,0
2040,final_energy_MWh,oil,oil,152,0
2040,final_energy_MWh,oil,oil,153,2.83387e+08
2040,final_energy_MWh,oil,oil,154,0
2040,final_energy_MWh,oil,oil,155,2.63004e+08
2040,final_energy_MWh,oil,oil,156,0
2040,final_energy_MWh,oil,oil,157,0
2040,final_energy_MWh,oil,oil,158,0
2040,final_energy_MWh,oil,oil,159,0
2040,final_energy_MWh,oil,oil,160,0
2040,final_energy_MWh,oil,oil,161,0
2040,final_energy_MWh,oil,oil,162,0
2040,final_energy_MWh,oil,oil,163,0
2040,final_energy_MWh,oil,oil,164,0
2040,final_energy_MWh,oil,oil,165,0
2040,final_energy_MWh,oil,oil,166,0
2040,final_energy_MWh,oil,oil,167,0
2040,final_energy_MWh,oil,oil,168,2.68263e+08
2040,final_energy_MWh,oil,oil,169,0
2040,final_energy_MWh,oil,oil,170,0
2040,final_energy_MWh,oil,oil,171,0
2040,final_energy_MWh,oil,oil,172,0
2040,final_energy_MWh,oil,oil,173,3.51256e+08
2040,final_energy_MWh,oil,oil,174,0
2040,final_energy_MWh,oil,oil,175,2.43176e+08
2040,final_energy_MWh,oil,oil,176,0
