country,scenario,wins_peak,h2_marginal_eur_mwh,clearing_price_eur_mwh,rent_eur_mwh,peaker_flh,ann_capex_eur_kw_yr,gross_margin_eur_kw_yr,net_profit_eur_kw_yr,covers_capex,missing_money_eur_kw_yr
IE,H2_PUSH,True,124.8,153.6,28.8,519.0,58.1,15.0,-43.2,False,43.2
LV,CURRENT_POLICIES,False,212.0,77.8,0.0,516.0,62.2,0.0,-62.2,False,62.2
LV,STATED_POLICIES,False,146.7,88.8,0.0,516.0,62.2,0.0,-62.2,False,62.2
LV,NET_ZERO,False,146.7,121.7,0.0,516.0,62.2,0.0,-62.2,False,62.2
LV,H2_PUSH,False,127.1,121.7,0.0,516.0,62.2,0.0,-62.2,False,62.2
PT,CURRENT_POLICIES,False,212.0,86.8,0.0,518.0,64.3,0.0,-64.3,False,64.3
PT,STATED_POLICIES,False,146.7,97.1,0.0,518.0,64.3,0.0,-64.3,False,64.3
PT,NET_ZERO,False,146.7,127.6,0.0,518.0,64.3,0.0,-64.3,False,64.3
PT,H2_PUSH,True,127.1,127.6,0.5,518.0,64.3,0.3,-64.1,False,64.1
LT,CURRENT_POLICIES,False,212.0,80.8,0.0,517.0,62.2,0.0,-62.2,False,62.2
LT,STATED_POLICIES,False,146.7,91.7,0.0,517.0,62.2,0.0,-62.2,False,62.2
LT,NET_ZERO,False,146.7,124.7,0.0,517.0,62.2,0.0,-62.2,False,62.2
LT,H2_PUSH,False,127.1,124.7,0.0,517.0,62.2,0.0,-62.2,False,62.2
HR,CURRENT_POLICIES,False,242.7,60.4,0.0,519.0,66.5,0.0,-66.5,False,66.5
HR,STATED_POLICIES,False,159.4,71.4,0.0,519.0,66.5,0.0,-66.5,False,66.5
HR,NET_ZERO,False,159.4,104.3,0.0,519.0,66.5,0.0,-66.5,False,66.5
HR,H2_PUSH,False,134.5,104.3,0.0,519.0,66.5,0.0,-66.5,False,66.5
SI,CURRENT_POLICIES,False,254.7,86.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
SI,STATED_POLICIES,False,164.4,97.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
SI,NET_ZERO,False,164.4,130.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
SI,H2_PUSH,False,137.4,130.7,0.0,519.0,66.5,0.0,-66.5,False,66.5
EE,CURRENT_POLICIES,False,210.7,95.7,0.0,516.0,60.1,0.0,-60.1,False,60.1
EE,STATED_POLICIES,False,146.1,106.7,0.0,516.0,60.1,0.0,-60.1,False,60.1
EE,NET_ZERO,False,146.1,139.6,0.0,516.0,60.1,0.0,-60.1,False,60.1
EE,H2_PUSH,True,126.7,139.6,12.9,516.0,60.1,6.7,-53.5,False,53.5
LU,CURRENT_POLICIES,False,245.3,101.7,0.0,522.0,52.3,0.0,-52.3,False,52.3
LU,STATED_POLICIES,False,160.6,112.7,0.0,522.0,52.3,0.0,-52.3,False,52.3
LU,NET_ZERO,False,160.6,145.6,0.0,522.0,52.3,0.0,-52.3,False,52.3
LU,H2_PUSH,True,135.1,145.6,10.5,522.0,52.3,5.5,-46.8,False,46.8
CY,CURRENT_POLICIES,False,277.3,75.9,0.0,514.0,66.5,0.0,-66.5,False,66.5
CY,STATED_POLICIES,False,173.9,84.8,0.0,514.0,66.5,0.0,-66.5,False,66.5
CY,NET_ZERO,False,173.9,111.5,0.0,514.0,66.5,0.0,-66.5,False,66.5
CY,H2_PUSH,False,142.9,111.5,0.0,514.0,66.5,0.0,-66.5,False,66.5
MT,CURRENT_POLICIES,False,274.7,78.8,0.0,535.0,62.2,0.0,-62.2,False,62.2
MT,STATED_POLICIES,False,172.8,88.1,0.0,535.0,62.2,0.0,-62.2,False,62.2
MT,NET_ZERO,False,172.8,115.8,0.0,535.0,62.2,0.0,-62.2,False,62.2
MT,H2_PUSH,False,142.2,115.8,0.0,535.0,62.2,0.0,-62.2,False,62.2
