country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
DK,total_elec,2040,10.11,6.19,1045,2179.4,352.0,2.4,3
DK,total_elec,2050,11.5,7.88,933,2701.3,343.0,0.8,3
DK,hp_elec,2025,0.99,0.0,0,0.0,0.0,0.0,0
DK,hp_elec,2030,2.93,0.0,0,0.0,0.0,0.0,0
DK,hp_elec,2040,3.66,0.0,0,0.0,0.0,0.0,0
DK,hp_elec,2050,4.31,0.0,0,0.0,0.0,0.0,0
DK,thermal,2025,23.23,8.17,103,297.1,36.0,0.0,0
DK,thermal,2030,23.14,8.08,103,289.9,36.0,0.0,0
DK,thermal,2040,22.71,7.65,97,256.8,34.0,0.0,0
DK,thermal,2050,22.09,7.03,60,221.0,31.0,0.0,0
EE,total_elec,2025,1.43,1.03,6080,2312.9,2241.0,0.1,3
EE,total_elec,2030,1.71,1.24,6156,2793.5,2250.0,0.1,3
EE,total_elec,2040,2.22,1.45,1930,883.0,611.0,0.3,3
EE,total_elec,2050,2.53,1.51,1201,605.3,400.0,0.2,3
EE,hp_elec,2025,0.18,0.0,0,0.0,0.0,0.0,0
EE,hp_elec,2030,0.35,0.0,0,0.0,0.0,0.0,0
EE,hp_elec,2040,0.73,0.0,0,0.0,0.0,0.0,0
EE,hp_elec,2050,0.87,0.0,0,0.0,0.0,0.0,0
EE,thermal,2025,4.48,1.54,97,53.5,35.0,0.0,0
EE,thermal,2030,4.52,1.58,103,57.0,36.0,0.0,0
EE,thermal,2040,4.65,1.71,140,67.9,40.0,0.0,0
EE,thermal,2050,4.83,1.89,220,92.8,49.0,0.0,0
EL,total_elec,2025,9.65,0.0,0,0.0,0.0,0.0,0
EL,total_elec,2030,10.89,0.0,0,0.0,0.0,0.0,0
EL,total_elec,2040,13.3,0.0,0,0.0,0.0,0.0,0
EL,total_elec,2050,15.3,0.0,0,0.0,0.0,0.0,0
