country,scenario,year,energy_gwh,clearing_eur_mwh,carbon_eur_t,dh_avail,gas_var_eur_mwh,h2_var_eur_mwh,revenue_meur,gas_profit_meur,h2_profit_meur,gas_profit_chp_lo_meur,gas_profit_chp_hi_meur,h2_profit_chp_lo_meur,h2_profit_chp_hi_meur,gas_syscost_meur,h2_syscost_meur,cum_gas_profit_meur,cum_h2_profit_meur,cum_gas_profit_chp_lo_meur,cum_gas_profit_chp_hi_meur,cum_h2_profit_chp_lo_meur,cum_h2_profit_chp_hi_meur,cum_gas_syscost_meur,cum_h2_syscost_meur
HR,NET_ZERO,2025,0.0,193.8,70.0,0.179,133.8,728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,NET_ZERO,2030,16.2,245.2,200.0,0.179,185.2,460.0,3.97,-21.65,-33.64,-21.49,-21.33,-33.49,-33.33,25.62,37.61,-162.375,-252.3,-161.17499999999998,-159.975,-251.175,-249.975,192.15,282.075
HR,NET_ZERO,2040,21.3,283.4,300.0,0.179,223.4,350.7,6.02,-56.15,-78.0,-55.95,-55.74,-77.81,-77.61,62.17,84.02,-723.875,-1032.3,-720.675,-717.375,-1029.275,-1026.075,813.85,1122.2749999999999
HR,NET_ZERO,2050,7.3,298.5,350.0,0.179,238.5,311.4,2.17,-37.55,-50.74,-37.48,-37.41,-50.68,-50.61,39.72,52.91,-911.625,-1286.0,-908.0749999999999,-904.425,-1282.6750000000002,-1279.125,1012.45,1386.8249999999998
HR,H2_PUSH,2025,0.0,193.8,70.0,0.179,133.8,728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,H2_PUSH,2030,16.2,245.2,200.0,0.179,185.2,433.7,3.97,-21.65,-33.22,-21.49,-21.33,-33.07,-32.92,25.62,37.19,-162.375,-249.14999999999998,-161.17499999999998,-159.975,-248.025,-246.9,192.15,278.92499999999995
HR,H2_PUSH,2040,21.3,283.4,300.0,0.179,223.4,297.6,6.02,-56.15,-76.87,-55.95,-55.74,-76.7,-76.53,62.17,82.89,-723.875,-1017.85,-720.675,-717.375,-1015.025,-1012.1999999999999,813.85,1107.8249999999998
HR,H2_PUSH,2050,7.3,298.5,350.0,0.179,238.5,245.9,2.17,-37.55,-50.26,-37.48,-37.41,-50.21,-50.16,39.72,52.43,-911.625,-1269.15,-908.0749999999999,-904.425,-1266.075,-1263.0,1012.45,1369.975
HU,CURRENT_POLICIES,2025,5.6,173.5,30.0,0.176,113.5,757.8,0.97,-12.79,-20.77,-12.73,-12.68,-20.72,-20.66,13.76,21.75,-31.974999999999998,-51.925,-31.825000000000003,-31.7,-51.8,-51.65,34.4,54.375
HU,CURRENT_POLICIES,2030,427.7,180.0,70.0,0.176,120.0,686.7,76.98,-98.97,-382.89,-94.8,-90.63,-378.81,-374.72,175.95,459.88,-774.25,-2923.6,-742.825,-711.425,-2892.875,-2862.05,1354.025,3503.475
