year,variable,tech,carrier,sample,value
2030,co2_MtCO2,all,all,56,527.6
2030,co2_MtCO2,all,all,57,524.573
2030,co2_MtCO2,all,all,58,509.308
2030,co2_MtCO2,all,all,59,503.445
2030,co2_MtCO2,all,all,60,533.688
2030,co2_MtCO2,all,all,61,540.071
2030,co2_MtCO2,all,all,62,533.043
2030,co2_MtCO2,all,all,63,538.356
2030,co2_MtCO2,all,all,64,532.104
2030,co2_MtCO2,all,all,65,537.953
2030,co2_MtCO2,all,all,66,523.263
2030,co2_MtCO2,all,all,67,520.043
2030,co2_MtCO2,all,all,68,532.433
2030,co2_MtCO2,all,all,69,537.027
2030,co2_MtCO2,all,all,70,532.565
2030,co2_MtCO2,all,all,71,530.17
2030,co2_MtCO2,all,all,72,540.761
2030,co2_MtCO2,all,all,73,525.618
2030,co2_MtCO2,all,all,74,524.644
2030,co2_MtCO2,all,all,75,540.417
2030,co2_MtCO2,all,all,76,529.027
2030,co2_MtCO2,all,all,77,535.537
2030,co2_MtCO2,all,all,78,527.072
2030,co2_MtCO2,all,all,79,540.248
2030,co2_MtCO2,all,all,80,507.382
2030,co2_MtCO2,all,all,81,534.03
2030,co2_MtCO2,all,all,82,521.684
2030,co2_MtCO2,all,all,83,543.797
2030,co2_MtCO2,all,all,84,538.369
2030,co2_MtCO2,all,all,85,532.503
2030,co2_MtCO2,all,all,86,524.256
2030,co2_MtCO2,all,all,87,538.262
2030,co2_MtCO2,all,all,88,535.307
2030,co2_MtCO2,all,all,89,532.021
2030,co2_MtCO2,all,all,90,534.822
2030,co2_MtCO2,all,all,91,528.7
2030,co2_MtCO2,all,all,92,526.717
2030,co2_MtCO2,all,all,93,531.422
2030,co2_MtCO2,all,all,94,535.665
2030,co2_MtCO2,all,all,95,539.734
2030,co2_MtCO2,all,all,96,534.126
2030,co2_MtCO2,all,all,97,539.463
2030,co2_MtCO2,all,all,98,532.076
2030,co2_MtCO2,all,all,99,516.468
2030,co2_MtCO2,all,all,100,532.756
2030,co2_MtCO2,all,all,101,522.082
2030,co2_MtCO2,all,all,102,541.607
2030,co2_MtCO2,all,all,103,534.84
2030,co2_MtCO2,all,all,104,514.732
2030,co2_MtCO2,all,all,105,537.769
2030,co2_MtCO2,all,all,106,528.514
2030,co2_MtCO2,all,all,107,523.733
2030,co2_MtCO2,all,all,108,529.448
