country,year,tech,variable,q10,q50,q90
CZ,2025,oil_boiler,tech_share,0.0609,0.0609,0.0609
CZ,2025,resistance_heater,tech_share,0.0508,0.0508,0.0508
CZ,2030,all,co2_MtCO2,12.6442,12.8585,13.0274
CZ,2030,all,useful_heat_TWh,78.279,78.75,79.22
CZ,2030,biomass_boiler,tech_share,0.14876999999999999,0.15875,0.16631
CZ,2030,district_heat,tech_share,0.27649,0.29295000000000004,0.3051
CZ,2030,gas_boiler,tech_share,0.33482999999999996,0.3475,0.35977000000000003
CZ,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
CZ,2030,hp_air,tech_share,0.04579,0.0613,0.08343
CZ,2030,hp_ground,tech_share,0.02289,0.0342,0.05052
CZ,2030,oil_boiler,tech_share,0.05819,0.0604,0.06252
CZ,2030,resistance_heater,tech_share,0.04059,0.043,0.0447
CZ,2040,all,co2_MtCO2,8.7363,9.122499999999999,9.5858
CZ,2040,all,useful_heat_TWh,78.79899999999999,80.245,81.691
CZ,2040,biomass_boiler,tech_share,0.11345000000000001,0.1375,0.15461999999999998
CZ,2040,district_heat,tech_share,0.17895,0.20584999999999998,0.2299
CZ,2040,gas_boiler,tech_share,0.29706,0.31845,0.34021
CZ,2040,h2_boiler,tech_share,0.0,0.0021,0.014449999999999998
CZ,2040,hp_air,tech_share,0.13107,0.16115000000000002,0.1843
CZ,2040,hp_ground,tech_share,0.06879,0.09535,0.12223
CZ,2040,oil_boiler,tech_share,0.0516,0.0554,0.05911
CZ,2040,resistance_heater,tech_share,0.02249,0.0253,0.0282
CZ,2050,all,co2_MtCO2,7.039300000000001,7.8645,8.777899999999999
CZ,2050,all,useful_heat_TWh,80.189,82.655,85.142
CZ,2050,biomass_boiler,tech_share,0.08629,0.12375,0.15052
CZ,2050,district_heat,tech_share,0.11931,0.14884999999999998,0.19219
CZ,2050,gas_boiler,tech_share,0.28882,0.3367,0.37738
CZ,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.031749999999999994
CZ,2050,hp_air,tech_share,0.15186,0.1822,0.21316000000000002
CZ,2050,hp_ground,tech_share,0.09838,0.1257,0.15564
CZ,2050,oil_boiler,tech_share,0.05019,0.058550000000000005,0.06561
CZ,2050,resistance_heater,tech_share,0.011380000000000001,0.0132,0.0188
DE,2025,all,co2_MtCO2,154.565,154.6585,154.7432
DE,2025,all,useful_heat_TWh,765.82,765.82,765.82
DE,2025,biomass_boiler,tech_share,0.1106,0.1106,0.1106
DE,2025,district_heat,tech_share,0.0955,0.0955,0.0955
DE,2025,gas_boiler,tech_share,0.5075,0.5075,0.5075
DE,2025,hp_air,tech_share,0.0267,0.035100000000000006,0.04272
DE,2025,hp_ground,tech_share,0.0074800000000000005,0.015099999999999999,0.0235
DE,2025,oil_boiler,tech_share,0.2111,0.2111,0.2111
DE,2025,resistance_heater,tech_share,0.0251,0.0251,0.0251
DE,2030,all,co2_MtCO2,122.4049,125.1775,126.4953
DE,2030,all,useful_heat_TWh,747.266,751.06,755.071
DE,2030,biomass_boiler,tech_share,0.0912,0.0964,0.10341
DE,2030,district_heat,tech_share,0.0893,0.0952,0.10493
DE,2030,gas_boiler,tech_share,0.39968,0.4139,0.41901
DE,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
DE,2030,hp_air,tech_share,0.10828,0.14125,0.17004
DE,2030,hp_ground,tech_share,0.0338,0.06405,0.0968
DE,2030,oil_boiler,tech_share,0.16629,0.1722,0.1743
DE,2030,resistance_heater,tech_share,0.0188,0.0189,0.0192
DE,2040,all,co2_MtCO2,94.6902,100.037,104.5372
DE,2040,all,useful_heat_TWh,709.63,720.5,732.0930000000001
DE,2040,biomass_boiler,tech_share,0.08593,0.10555,0.12083
DE,2040,district_heat,tech_share,0.11699000000000001,0.13535,0.16514
DE,2040,gas_boiler,tech_share,0.34675,0.3721,0.39128999999999997
DE,2040,h2_boiler,tech_share,0.0,0.0021,0.01481
DE,2040,hp_air,tech_share,0.11259000000000001,0.14235,0.1659
DE,2040,hp_ground,tech_share,0.04628,0.07365,0.10023
DE,2040,oil_boiler,tech_share,0.14420000000000002,0.1548,0.16274
DE,2040,resistance_heater,tech_share,0.0147,0.0152,0.0162
DE,2050,all,co2_MtCO2,59.3893,67.86099999999999,75.7019
DE,2050,all,useful_heat_TWh,671.985,689.23,707.814
DE,2050,biomass_boiler,tech_share,0.08116999999999999,0.1121,0.13799
DE,2050,district_heat,tech_share,0.1552,0.19415,0.24086
DE,2050,gas_boiler,tech_share,0.23944,0.2781,0.31296
DE,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.03631
DE,2050,hp_air,tech_share,0.13807,0.1724,0.20543
DE,2050,hp_ground,tech_share,0.07672999999999999,0.1056,0.13432
DE,2050,oil_boiler,tech_share,0.09958,0.1157,0.13022
DE,2050,resistance_heater,tech_share,0.0102,0.0112,0.0134
DK,2025,all,co2_MtCO2,4.1,4.104,4.107
DK,2025,all,useful_heat_TWh,51.67,51.67,51.67
DK,2025,biomass_boiler,tech_share,0.065,0.065,0.065
DK,2025,district_heat,tech_share,0.655,0.655,0.655
DK,2025,gas_boiler,tech_share,0.13,0.13,0.13
DK,2025,hp_air,tech_share,0.04259,0.055900000000000005,0.06803000000000001
DK,2025,hp_ground,tech_share,0.011970000000000001,0.0241,0.03741
DK,2025,oil_boiler,tech_share,0.045,0.045,0.045
DK,2025,resistance_heater,tech_share,0.025,0.025,0.025
DK,2030,all,co2_MtCO2,3.075,3.2145,3.5410999999999997
DK,2030,all,useful_heat_TWh,51.56,51.74,51.89
DK,2030,biomass_boiler,tech_share,0.07279000000000001,0.0806,0.09261
DK,2030,district_heat,tech_share,0.46057000000000003,0.4972,0.51732
DK,2030,gas_boiler,tech_share,0.11649000000000001,0.12625,0.14862
DK,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
DK,2030,hp_air,tech_share,0.1247,0.1565,0.18716
DK,2030,hp_ground,tech_share,0.04218,0.07435,0.10703
DK,2030,oil_boiler,tech_share,0.0403,0.0437,0.05141
DK,2030,resistance_heater,tech_share,0.0193,0.0197,0.0205
DK,2040,all,co2_MtCO2,3.1089,3.4955,4.1581
DK,2040,all,useful_heat_TWh,50.769000000000005,51.29,51.730999999999995
DK,2040,biomass_boiler,tech_share,0.0898,0.11075,0.13521
DK,2040,district_heat,tech_share,0.27984000000000003,0.33375,0.37698
DK,2040,gas_boiler,tech_share,0.16687,0.1923,0.23431999999999997
DK,2040,h2_boiler,tech_share,0.0,0.0021,0.0154
DK,2040,hp_air,tech_share,0.14389,0.17435,0.2057
DK,2040,hp_ground,tech_share,0.06577,0.0946,0.12494999999999999
DK,2040,oil_boiler,tech_share,0.05779,0.06655,0.08114
DK,2040,resistance_heater,tech_share,0.0155,0.0169,0.01941
DK,2050,all,co2_MtCO2,4.1211,4.7405,5.3285
DK,2050,all,useful_heat_TWh,49.57,50.42,51.152
DK,2050,biomass_boiler,tech_share,0.08616,0.11895,0.14872999999999997
DK,2050,district_heat,tech_share,0.11073999999999999,0.1506,0.19368999999999997
DK,2050,gas_boiler,tech_share,0.25193,0.29275,0.32974
DK,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.03893999999999998
DK,2050,hp_air,tech_share,0.16076,0.1911,0.22989
DK,2050,hp_ground,tech_share,0.08552,0.1159,0.1477
DK,2050,oil_boiler,tech_share,0.08718,0.10135,0.11412
DK,2050,resistance_heater,tech_share,0.011090000000000001,0.0132,0.016919999999999998
EE,2025,all,co2_MtCO2,1.006,1.008,1.009
EE,2025,all,useful_heat_TWh,10.79,10.79,10.79
EE,2025,biomass_boiler,tech_share,0.4118,0.4118,0.4118
EE,2025,district_heat,tech_share,0.3918,0.3918,0.3918
EE,2025,gas_boiler,tech_share,0.0555,0.0555,0.0555
EE,2025,hp_air,tech_share,0.03989,0.0524,0.06373000000000001
EE,2025,hp_ground,tech_share,0.01127,0.022600000000000002,0.0351
EE,2025,oil_boiler,tech_share,0.001,0.001,0.001
EE,2025,resistance_heater,tech_share,0.065,0.065,0.065
EE,2030,all,co2_MtCO2,0.6879,0.7215,0.784
EE,2030,all,useful_heat_TWh,10.92,10.97,11.01
EE,2030,biomass_boiler,tech_share,0.33679,0.3665,0.38391000000000003
EE,2030,district_heat,tech_share,0.31909,0.35150000000000003,0.36911
EE,2030,gas_boiler,tech_share,0.06848,0.0867,0.12994
EE,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
EE,2030,hp_air,tech_share,0.06599000000000001,0.0864,0.10837
EE,2030,hp_ground,tech_share,0.03408,0.049049999999999996,0.0661
EE,2030,oil_boiler,tech_share,0.0012,0.0016,0.0023
EE,2030,resistance_heater,tech_share,0.05128,0.0571,0.05981
EE,2040,all,co2_MtCO2,0.6019,0.692,0.8170999999999999
EE,2040,all,useful_heat_TWh,11.269,11.415,11.540999999999999
EE,2040,biomass_boiler,tech_share,0.20537,0.23695,0.27114
EE,2040,district_heat,tech_share,0.19875,0.23320000000000002,0.26328
EE,2040,gas_boiler,tech_share,0.15884,0.19924999999999998,0.25318
EE,2040,h2_boiler,tech_share,0.0,0.0021,0.0154
EE,2040,hp_air,tech_share,0.14434,0.17235,0.19952
EE,2040,hp_ground,tech_share,0.08073999999999999,0.1062,0.1363
EE,2040,oil_boiler,tech_share,0.0029,0.0036,0.0046
EE,2040,resistance_heater,tech_share,0.03007,0.036750000000000005,0.0428
EE,2050,all,co2_MtCO2,0.9179,1.06,1.1892
EE,2050,all,useful_heat_TWh,11.739,11.99,12.212000000000002
EE,2050,biomass_boiler,tech_share,0.08902,0.13365,0.18352999999999997
EE,2050,district_heat,tech_share,0.11314,0.13495000000000001,0.15788
EE,2050,gas_boiler,tech_share,0.33311,0.38795,0.43518999999999997
EE,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.036599999999999994
EE,2050,hp_air,tech_share,0.15328999999999998,0.18080000000000002,0.20946
EE,2050,hp_ground,tech_share,0.09499,0.1226,0.15046
EE,2050,oil_boiler,tech_share,0.006,0.007,0.007809999999999999
EE,2050,resistance_heater,tech_share,0.0156,0.021249999999999998,0.02701
EL,2025,all,co2_MtCO2,10.928,10.939,10.95
EL,2025,all,useful_heat_TWh,63.04,63.04,63.04
EL,2025,biomass_boiler,tech_share,0.2735,0.2735,0.2735
EL,2025,district_heat,tech_share,0.011,0.011,0.011
EL,2025,gas_boiler,tech_share,0.183,0.183,0.183
EL,2025,hp_air,tech_share,0.05989,0.07865,0.09565
EL,2025,hp_ground,tech_share,0.01685,0.033850000000000005,0.05261
EL,2025,oil_boiler,tech_share,0.372,0.372,0.372
EL,2025,resistance_heater,tech_share,0.048,0.048,0.048
EL,2030,all,co2_MtCO2,9.6953,9.967,10.1101
EL,2030,all,useful_heat_TWh,62.14,62.42,62.68
EL,2030,biomass_boiler,tech_share,0.2244,0.2398,0.24983
EL,2030,district_heat,tech_share,0.03819,0.04525,0.05986999999999999
EL,2030,gas_boiler,tech_share,0.17127,0.1773,0.18041000000000001
EL,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
EL,2030,hp_air,tech_share,0.0724,0.0935,0.11643
EL,2030,hp_ground,tech_share,0.02319,0.041800000000000004,0.062299999999999994
EL,2030,oil_boiler,tech_share,0.34813,0.36045,0.36681
EL,2030,resistance_heater,tech_share,0.0387,0.041749999999999995,0.0433
EL,2040,all,co2_MtCO2,7.5583,8.0505,8.476500000000001
EL,2040,all,useful_heat_TWh,60.577999999999996,61.39,62.152
EL,2040,biomass_boiler,tech_share,0.13167,0.15885,0.18672
EL,2040,district_heat,tech_share,0.10996,0.12825,0.14722
EL,2040,gas_boiler,tech_share,0.14083,0.1505,0.15903
EL,2040,h2_boiler,tech_share,0.0,0.0021,0.012539999999999999
EL,2040,hp_air,tech_share,0.12259,0.151,0.1775
EL,2040,hp_ground,tech_share,0.0444,0.0711,0.09739999999999999
EL,2040,oil_boiler,tech_share,0.28636,0.30595,0.32334999999999997
EL,2040,resistance_heater,tech_share,0.024,0.028,0.0327
EL,2050,all,co2_MtCO2,5.7017999999999995,6.524,7.2833
EL,2050,all,useful_heat_TWh,59.058,60.39,61.634
EL,2050,biomass_boiler,tech_share,0.0638,0.1032,0.14695
EL,2050,district_heat,tech_share,0.17957,0.20655,0.23856
EL,2050,gas_boiler,tech_share,0.11177,0.13025,0.14585
EL,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.02573
EL,2050,hp_air,tech_share,0.14538,0.17304999999999998,0.20656999999999998
EL,2050,hp_ground,tech_share,0.06741000000000001,0.0905,0.11617
EL,2050,oil_boiler,tech_share,0.22715000000000002,0.2647,0.29642
EL,2050,resistance_heater,tech_share,0.0144,0.0194,0.02841
