country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
CH,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2030,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2030,oil_boiler,oil,0.090860914,7794922.229664057,8661024.699626729,2295171.5454010833,COST_OPT_75,trajectory
CH,2030,biomass_boiler,biomass,0.048765491,4183572.375646392,4732547.936251574,0.0,COST_OPT_75,trajectory
CH,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2030,hp_air,electricity,0.45738426,39238816.5473709,12111493.47100775,363344.8041302324,COST_OPT_75,trajectory
CH,2030,hp_ground,electricity,0.062393393,5352704.751350682,1414936.4925589962,42448.09477676988,COST_OPT_75,trajectory
CH,2030,district_heat,district_heat,0.34059594,29219592.310499158,30628503.470124904,1071997.6214543718,COST_OPT_75,trajectory
CH,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,hp_air,electricity,0.32023728,26263466.239282597,7916882.570471634,95002.59084565961,COST_OPT_75,trajectory
CH,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2040,district_heat,district_heat,0.67976272,55749053.4751073,57951199.03857308,869267.985578596,COST_OPT_75,trajectory
CH,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,hp_air,electricity,0.32023728,24612712.275107954,7249694.337292476,36248.47168646238,COST_OPT_75,trajectory
CH,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CH,2050,district_heat,district_heat,0.67976272,52245023.57347268,53860849.044817194,269304.245224086,COST_OPT_75,trajectory
CH,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2025,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2025,oil_boiler,oil,0.5404,1758651.623200764,1954057.3591119598,517825.2001646694,COST_OPT_75,trajectory
CY,2025,biomass_boiler,biomass,0.0556,180941.9508696567,205615.85326097353,0.0,COST_OPT_75,trajectory
CY,2025,resistance_heater,electricity,0.0909,295820.5635620826,301857.71792049246,150928.85896024623,COST_OPT_75,trajectory
CY,2025,hp_air,electricity,0.3131,1018937.4967138402,228717.73214676545,114358.86607338274,COST_OPT_75,trajectory
CY,2025,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2025,district_heat,district_heat,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2030,gas_boiler,gas,0.26985921,915235.3587050961,990514.4574730477,200083.92040955563,COST_OPT_75,trajectory
CY,2030,oil_boiler,oil,0.2404,815323.5912634039,905915.101403782,240067.50187200226,COST_OPT_75,trajectory
CY,2030,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2030,hp_air,electricity,0.18974079,643511.4072876679,142717.10075131245,39960.788210367486,COST_OPT_75,trajectory
CY,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2030,district_heat,district_heat,0.3,1017458.7245383576,1066518.5791806683,53325.92895903342,COST_OPT_75,trajectory
CY,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,gas_boiler,gas,0.3,1088610.7697164475,1168037.306562712,235943.53592566782,COST_OPT_75,trajectory
CY,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,hp_air,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2040,district_heat,district_heat,0.7,2540091.796005044,2640428.0623753057,52808.56124750612,COST_OPT_75,trajectory
