country,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,short_hours,unserved_gwh,lol_hours
CZ,2025,10.671662228863918,2.0,14080.912137129204,3.3249149253787147,2394.532214640025,720.1784912939638,2038,0.040112647942851964,3
CZ,2030,12.620825984750455,2.0,15629.114751843164,5.257655301767481,6277.397532194589,1193.9538010573456,3603,0.08851988518074094,3
CZ,2040,16.632609847223044,3.0,16349.770823067225,7.084925582142439,2717.14079842051,383.5101395093077,1276,0.23202334084784404,3
CZ,2050,19.44514535820401,4.0,16029.97561799542,7.469771035232352,678.8746998578606,90.88293291130894,265,0.8300453732143129,3
DE,2025,84.8074715649631,33.0,142963.83205708294,39.4384254230352,19042.63473200601,482.8447010179972,1592,5.432866438170606,3
DE,2030,115.83017632194654,45.0,130215.42919235419,38.07522627609032,3452.3854528386482,90.67274946194094,329,8.92802028156224,3
DE,2040,129.6203524055585,45.0,116793.7622336556,56.29343255411544,2438.2191252546663,43.312674580836436,149,6.205847175859162,3
DE,2050,152.5142926299641,45.0,106615.34225872131,87.69429288879746,4202.695665632069,47.924391966548875,151,10.7511604917039,3
DK,2025,6.451374939075288,1.0,2563.1531807734546,3.5242871393649393,1629.7568635912974,462.4358910451809,1621,0.1971301829629466,3
DK,2030,8.654263058444256,1.0,3020.0933868350166,5.061108669850223,3381.667126027703,668.1672626736503,2255,0.9303241236488624,3
DK,2040,10.109720532489959,1.0,2343.6796145687294,6.185476676641407,2179.369202653857,352.33649993119235,1045,2.3896985782131317,3
DK,2050,11.501263552945836,1.0,2553.8730019957,7.8836860657923005,2701.2966182327928,342.6438591909248,933,0.8351181397180802,3
EE,2025,1.4347809596560066,0.2,1416.0272010568274,1.0319801611539305,2312.8734463176115,2241.1995243507617,6080,0.10033025109760585,3
EE,2030,1.7081817191157223,0.2,1404.6808864204552,1.2415844488095655,2793.499158600016,2249.9469619472366,6156,0.12310812804884241,3
EE,2040,2.2227307941015417,0.2,625.3031235761822,1.445099327280902,882.9900489526954,611.0237769012936,1930,0.3313480999328293,3
EE,2050,2.532487210832511,0.2,570.2707403364947,1.5145623973444324,605.2677374185807,399.63209074768446,1201,0.19229423957269232,3
EL,2025,9.653701671403377,6.0,20808.674815405422,0.0,0.0,0.0,0,0.0,0
EL,2030,10.889797306680668,6.0,22968.873967831903,0.0,0.0,0.0,0,0.0,0
EL,2040,13.301507496455866,5.5,16679.66825195586,0.0,0.0,0.0,0,0.0,0
EL,2050,15.29707204892919,5.0,13565.222560745618,0.0,0.0,0.0,0,0.0,0
ES,2025,41.81074954509109,27.0,61753.62740014952,0.0,0.0,0.0,0,0.0,0
ES,2030,46.77086140348111,26.0,56524.11612773778,0.0,0.0,0.0,0,0.0,0
ES,2040,55.815796837923855,22.0,56690.119044756226,0.0,0.0,0.0,0,0.0,0
ES,2050,63.038300154752775,18.0,44927.40449339596,0.0,0.0,0.0,0,0.0,0
FI,2025,15.59748491745474,1.0,4725.979856134369,6.182588934123211,4315.070388518341,697.9390728538363,2140,1.2001057426759765,3
FI,2030,17.651941175824252,1.0,5189.497493271884,7.8889410641275965,7163.857542497421,908.0886121805044,2934,1.890515450976455,3
FI,2040,21.059193446046745,1.0,4359.768714755646,10.349872261787777,7637.5093934783035,737.9327203560138,2293,2.3202254556917445,3
FI,2050,23.669767160986652,1.0,4353.251936311057,13.568668673387016,10694.948885507976,788.2091561779067,2437,1.5113459995199925,3
FR,2025,91.55563620491849,12.0,6462.653630001669,0.6244335960036906,1.20456905230931,1.9290586861732382,2,0.0,0
FR,2030,105.26785394326572,9.0,12647.04037905472,17.084341991081843,508.4974580292877,29.76394749617675,93,6.73425462885352,3
FR,2040,118.89395882638259,7.5,12726.51755731542,31.636991462184334,1460.8929843198625,46.17673542271131,162,5.645210724087519,3
FR,2050,133.37235648985026,6.0,11237.690821224958,37.15919904365002,2653.9958635890594,71.42231081115268,222,4.831613127194572,3
HR,2025,2.7976327505508847,1.0,6859.18641892383,0.0,0.0,0.0,0,0.0,0
HR,2030,3.2901436508419235,1.0,7199.660640983395,0.46993304950917714,16.193757685193198,34.459712297542836,104,0.21106026781685427,3
HR,2040,4.248279415736093,1.0,4103.088969219064,1.1928263820704936,21.255548965062793,17.819482604138642,42,0.1250739905552649,3
HR,2050,4.814028357841339,1.0,3279.4530014429806,0.788958296957071,7.276057594423013,9.222360196332303,16,0.7407014013881672,3
HU,2025,7.250160981534591,4.0,19025.64132689746,0.2632405740785577,5.600442382185708,21.274996841916902,54,0.0345017824907794,3
HU,2030,8.679879033749353,4.0,22468.239809005412,2.499330391975306,427.7160535204028,171.13225802146317,586,0.09906189679224031,3
HU,2040,11.68600585095523,4.0,17609.055445479116,4.317604416698199,233.50095785166855,54.08113743552118,139,0.23701654885116596,3
HU,2050,13.602704373102155,4.0,13739.78930481428,4.941045292808868,107.10878398263125,21.677353198627014,47,0.891618890241725,3
IE,2025,5.681312555753869,5.0,13661.555667498833,0.0,0.0,0.0,0,0.0,0
IE,2030,7.141184762512895,5.0,13616.949149149008,0.45298938827084445,4.7363062672055,10.455667152126841,19,0.7155620278917318,3
IE,2040,8.1151066784397,4.5,10380.819576581682,2.010332409166648,21.932248753343515,10.909762312609379,22,1.8180679823002501,3
IE,2050,9.698506797003112,4.0,9311.967946605728,3.1511261591980935,70.59790025280101,22.404022145139038,50,1.5568580959330403,3
IT,2025,51.24210878167817,50.0,182304.6757892138,0.0,0.0,0.0,0,0.0,0
IT,2030,60.05024026833869,45.0,131860.98075659652,0.0,0.0,0.0,0,0.0,0
IT,2040,80.97415141140979,40.0,120601.4284988464,0.0,0.0,0.0,0,0.0,0
IT,2050,97.40919342710123,35.0,102810.01413400841,9.52198758967701,46.46803096621493,4.880076825198965,6,14.498506608973372,3
LT,2025,2.289512872422913,1.0,3868.971722975565,0.09014120019287608,1.0225347181979378,11.343699839917923,23,0.15245232514720453,3
LT,2030,2.7036196202046585,1.0,4494.453783341929,0.5777371175143773,37.38143307563409,64.70318756125936,210,0.34200495327225156,3
LT,2040,3.4169736430128346,1.0,3049.5021298383363,0.8399069939976274,19.77930200114502,23.54939551938163,52,0.22859067912964148,3
LT,2050,3.7294588754164577,1.0,2348.9281689647496,1.0358234342803962,10.098644287044012,9.749387736202076,20,0.8267138414133379,3
LU,2025,1.0497279263164137,0.4,2584.806211641148,0.0,0.0,0.0,0,0.0,0
LU,2030,1.3626947208772369,0.4,2859.377359348293,0.0,0.0,0.0,0,0.0,0
LU,2040,1.606858713236103,0.35,2275.1481336131183,0.07806728874437574,0.5434909723795027,6.961827176541441,12,0.2509613065687133,3
LU,2050,2.0163705829520553,0.3,1902.7535452973252,0.5498968724563658,43.716194597332375,79.49889658774381,242,0.09159223247533244,3
LV,2025,1.229506037593171,1.0,1545.1644499902632,0.0,0.0,0.0,0,0.0,0
LV,2030,1.6437900034027024,1.0,2206.657291251104,0.0,0.0,0.0,0,0.0,0
LV,2040,2.598365130978129,1.0,2148.3426370905436,0.0,0.0,0.0,0,0.0,0
LV,2050,2.99191436146623,1.0,1746.89216780053,0.0,0.0,0.0,0,0.0,0
MT,2025,0.6232119185304332,0.7,2839.0935972471652,0.0,0.0,0.0,0,0.0,0
MT,2030,0.6566767338147713,0.7,3067.106026538281,0.0,0.0,0.0,0,0.0,0
MT,2040,0.6907894023826456,0.7,2413.943195569036,0.0,0.0,0.0,0,0.0,0
MT,2050,0.7235482180192014,0.7,1912.7572155023554,0.0,0.0,0.0,0,0.0,0
NL,2025,20.116316131558495,20.0,44034.633639537846,0.0,0.0,0.0,0,0.0,0
NL,2030,25.76285185547964,18.0,31523.46401014655,0.0,0.0,0.0,0,0.0,0
NL,2040,29.885618747437878,15.0,23509.04762470448,0.0,0.0,0.0,0,0.0,0
NL,2050,36.865222266381,12.0,20426.2362701014,0.0,0.0,0.0,0,0.0,0
