country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
FI,total_elec,2040,21.059193446046745,1.0,3694.3302876583,10.349872261787777,7536.7294124828695,728.1954039480115,6625.16674429157,911.5626681913,10.3498722,2.320225410002,3,2.146,1920881600.3684955,Optimal,186
FI,total_elec,2050,23.669767160986652,1.0,3142.174915005,13.568668673387016,10704.57329993427,788.9184678029426,9563.867099788731,1140.70620014554,13.5686686,1.5113460000035999,3,1.468,2398033305.5086794,Optimal,186
FR,total_elec,2025,91.55563620491849,12.0,6540.098783697999,0.6244335960036906,30.8585737104,49.418503277036386,22.335621930400002,8.52295178,0.6244336,0.0,0,0.631,675802442.8040974,Optimal,10
FR,total_elec,2030,105.26785394326572,9.0,8331.66683474,17.084341991081843,558.75175899612,32.70548899616928,480.89064900781995,77.8611099883,17.084342,6.7342546500000005,3,6.366,1153241045.3538015,Optimal,35
FR,total_elec,2040,118.89395882638259,7.5,6559.7090095700005,31.636991462184334,1512.1007159462001,47.795338496506936,1288.0646260865,224.0360898597,31.636992,5.64521063,3,5.911,1201865169.4805732,Optimal,43
FR,total_elec,2050,133.37235648985026,6.0,5081.798481010001,37.15919904365002,3838.9053335609997,103.30968999228239,3422.095555997,416.80977756399994,37.1592,4.83161312,3,5.434,1469336368.80795,Optimal,37
HR,total_elec,2025,2.7976327505508847,1.0,7003.420812295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,844970859.098813,Optimal,10
HR,total_elec,2030,3.2901436508419235,1.0,7610.6160134532,0.46993304950917714,63.70155342458,135.554529503965,60.5826269679,3.11892645668,0.46993304,0.211060268,3,0.151,796863873.3436995,Optimal,40
HR,total_elec,2040,4.248279415736093,1.0,4002.038083821,1.1928263820704936,74.4199725667,62.38960982529805,70.0073851116,4.412587455100001,1.19282638,0.1250739878,3,0.236,511323355.13538915,Optimal,10
HR,total_elec,2050,4.814028357841339,1.0,3114.3449885,0.788958296957071,77.4588357819,98.17861866799623,74.7438434319,2.71499235,0.7889583,0.7407014030000001,3,0.465,416704261.25676984,Optimal,10
HU,total_elec,2025,7.250160981534591,4.0,18771.8434613,0.2632405740785577,20.58965332276,78.2161085722884,17.00479645604,3.58485686672,0.26324058,0.034501782500399765,3,0.228,1662533458.4422958,Optimal,34
