variant,country,year,shadow_eur_tco2,degenerate_low_baseline
COST_OPT_75,FR,2050,0.0,False
COST_OPT_75,HR,2025,0.0,False
COST_OPT_75,HR,2030,111.89,False
COST_OPT_75,HR,2040,37.1,False
COST_OPT_75,HR,2050,6.1,False
COST_OPT_75,HU,2025,0.0,False
COST_OPT_75,HU,2030,15.37,False
COST_OPT_75,HU,2040,0.0,False
COST_OPT_75,HU,2050,0.0,False
COST_OPT_75,IE,2025,0.0,False
COST_OPT_75,IE,2030,0.0,False
COST_OPT_75,IE,2040,0.0,False
COST_OPT_75,IE,2050,0.0,False
COST_OPT_75,IT,2025,0.0,False
COST_OPT_75,IT,2030,0.0,False
COST_OPT_75,IT,2040,0.0,False
COST_OPT_75,IT,2050,0.0,False
COST_OPT_75,LT,2025,0.0,False
COST_OPT_75,LT,2030,0.0,False
COST_OPT_75,LT,2040,0.0,False
COST_OPT_75,LT,2050,0.0,False
COST_OPT_75,LU,2025,0.0,False
COST_OPT_75,LU,2030,0.0,False
COST_OPT_75,LU,2040,0.0,False
COST_OPT_75,LU,2050,0.0,False
COST_OPT_75,LV,2025,0.0,False
COST_OPT_75,LV,2030,0.0,False
COST_OPT_75,LV,2040,0.0,False
COST_OPT_75,LV,2050,0.0,False
COST_OPT_75,MT,2025,,True
COST_OPT_75,MT,2030,,True
COST_OPT_75,MT,2040,,True
COST_OPT_75,MT,2050,,True
COST_OPT_75,NL,2025,0.0,False
COST_OPT_75,NL,2030,0.0,False
COST_OPT_75,NL,2040,0.0,False
COST_OPT_75,NL,2050,0.0,False
COST_OPT_75,PL,2025,0.0,False
COST_OPT_75,PL,2030,0.0,False
COST_OPT_75,PL,2040,18.5,False
COST_OPT_75,PL,2050,10.7,False
COST_OPT_75,PT,2025,,True
COST_OPT_75,PT,2030,,True
COST_OPT_75,PT,2040,,True
COST_OPT_75,PT,2050,,True
COST_OPT_75,RO,2025,0.0,False
COST_OPT_75,RO,2030,14.82,False
COST_OPT_75,RO,2040,0.0,False
COST_OPT_75,RO,2050,0.0,False
COST_OPT_75,SE,2025,,True
COST_OPT_75,SE,2030,,True
COST_OPT_75,SE,2040,,True
COST_OPT_75,SE,2050,,True
COST_OPT_75,SI,2025,0.0,False
COST_OPT_75,SI,2030,0.0,False
COST_OPT_75,SI,2040,0.0,False
COST_OPT_75,SI,2050,0.0,False
COST_OPT_75,SK,2025,0.0,False
COST_OPT_75,SK,2030,0.0,False
COST_OPT_75,SK,2040,0.0,False
COST_OPT_75,SK,2050,0.0,False
COST_OPT_75,UK,2025,0.0,False
COST_OPT_75,UK,2030,0.0,False
COST_OPT_75,UK,2040,34.93,False
COST_OPT_75,UK,2050,21.5,False
COST_OPT_90,AT,2025,0.0,False
COST_OPT_90,AT,2030,0.0,False
COST_OPT_90,AT,2040,0.0,False
COST_OPT_90,AT,2050,0.0,False
COST_OPT_90,BE,2025,0.0,False
COST_OPT_90,BE,2030,0.0,False
COST_OPT_90,BE,2040,0.0,False
COST_OPT_90,BE,2050,0.0,False
COST_OPT_90,BG,2025,0.0,False
COST_OPT_90,BG,2030,0.0,False
COST_OPT_90,BG,2040,0.0,False
COST_OPT_90,BG,2050,0.0,False
COST_OPT_90,CH,2025,0.0,False
COST_OPT_90,CH,2030,0.0,False
COST_OPT_90,CH,2040,0.0,False
COST_OPT_90,CH,2050,0.0,False
COST_OPT_90,CY,2025,0.0,False
COST_OPT_90,CY,2030,206.99,False
