country,scenario,ocgt_srmc,h2_turbine_srmc,marginal_unit,peak_elec_low,peak_elec,peak_elec_high
BE,CURRENT_POLICIES,155.2,489.6,gas_ocgt,185.2,215.2,275.2
BE,STATED_POLICIES,180.5,337.9,gas_ocgt,210.5,240.5,300.5
BE,NET_ZERO,256.2,337.9,gas_ocgt,286.2,316.2,376.2
BE,H2_PUSH,256.2,292.4,gas_ocgt,286.2,316.2,376.2
DK,CURRENT_POLICIES,155.2,326.1,gas_ocgt,185.2,215.2,275.2
DK,STATED_POLICIES,180.5,204.1,gas_ocgt,210.5,240.5,300.5
DK,NET_ZERO,256.2,204.1,h2_turbine,234.1,264.1,324.1
DK,H2_PUSH,256.2,167.5,h2_turbine,197.5,227.5,287.5
LU,CURRENT_POLICIES,155.2,507.4,gas_ocgt,185.2,215.2,275.2
LU,STATED_POLICIES,180.5,345.3,gas_ocgt,210.5,240.5,300.5
LU,NET_ZERO,256.2,345.3,gas_ocgt,286.2,316.2,376.2
LU,H2_PUSH,256.2,296.7,gas_ocgt,286.2,316.2,376.2
UK,CURRENT_POLICIES,155.2,328.6,gas_ocgt,185.2,215.2,275.2
UK,STATED_POLICIES,180.5,205.2,gas_ocgt,210.5,240.5,300.5
UK,NET_ZERO,256.2,205.2,h2_turbine,235.2,265.2,325.2
UK,H2_PUSH,256.2,168.1,h2_turbine,198.1,228.1,288.1
CH,CURRENT_POLICIES,155.2,484.5,gas_ocgt,185.2,215.2,275.2
CH,STATED_POLICIES,180.5,335.8,gas_ocgt,210.5,240.5,300.5
CH,NET_ZERO,256.2,335.8,gas_ocgt,286.2,316.2,376.2
CH,H2_PUSH,256.2,291.1,gas_ocgt,286.2,316.2,376.2
