country,year,population,source_dataset
ES,2038,49285874,Eurostat proj_19np EUROPOP2023 baseline
ES,2039,49334429,Eurostat proj_19np EUROPOP2023 baseline
ES,2040,49377094,Eurostat proj_19np EUROPOP2023 baseline
ES,2041,49413167,Eurostat proj_19np EUROPOP2023 baseline
ES,2042,49442160,Eurostat proj_19np EUROPOP2023 baseline
ES,2043,49463378,Eurostat proj_19np EUROPOP2023 baseline
ES,2044,49476127,Eurostat proj_19np EUROPOP2023 baseline
ES,2045,49479880,Eurostat proj_19np EUROPOP2023 baseline
ES,2046,49474111,Eurostat proj_19np EUROPOP2023 baseline
ES,2047,49458400,Eurostat proj_19np EUROPOP2023 baseline
ES,2048,49432347,Eurostat proj_19np EUROPOP2023 baseline
ES,2049,49395725,Eurostat proj_19np EUROPOP2023 baseline
ES,2050,49348530,Eurostat proj_19np EUROPOP2023 baseline
FI,2025,5537441,Eurostat proj_19np EUROPOP2023 baseline
FI,2026,5535363,Eurostat proj_19np EUROPOP2023 baseline
FI,2027,5532540,Eurostat proj_19np EUROPOP2023 baseline
FI,2028,5528949,Eurostat proj_19np EUROPOP2023 baseline
FI,2029,5524542,Eurostat proj_19np EUROPOP2023 baseline
FI,2030,5519298,Eurostat proj_19np EUROPOP2023 baseline
FI,2031,5513223,Eurostat proj_19np EUROPOP2023 baseline
FI,2032,5506328,Eurostat proj_19np EUROPOP2023 baseline
FI,2033,5498632,Eurostat proj_19np EUROPOP2023 baseline
FI,2034,5490167,Eurostat proj_19np EUROPOP2023 baseline
FI,2035,5480971,Eurostat proj_19np EUROPOP2023 baseline
FI,2036,5471114,Eurostat proj_19np EUROPOP2023 baseline
FI,2037,5460644,Eurostat proj_19np EUROPOP2023 baseline
FI,2038,5449626,Eurostat proj_19np EUROPOP2023 baseline
FI,2039,5438104,Eurostat proj_19np EUROPOP2023 baseline
FI,2040,5426143,Eurostat proj_19np EUROPOP2023 baseline
FI,2041,5413787,Eurostat proj_19np EUROPOP2023 baseline
FI,2042,5401065,Eurostat proj_19np EUROPOP2023 baseline
FI,2043,5388059,Eurostat proj_19np EUROPOP2023 baseline
FI,2044,5374763,Eurostat proj_19np EUROPOP2023 baseline
FI,2045,5361229,Eurostat proj_19np EUROPOP2023 baseline
FI,2046,5347444,Eurostat proj_19np EUROPOP2023 baseline
FI,2047,5333481,Eurostat proj_19np EUROPOP2023 baseline
FI,2048,5319351,Eurostat proj_19np EUROPOP2023 baseline
FI,2049,5305076,Eurostat proj_19np EUROPOP2023 baseline
FI,2050,5290709,Eurostat proj_19np EUROPOP2023 baseline
FR,2025,68036808,Eurostat proj_19np EUROPOP2023 baseline
FR,2026,68189108,Eurostat proj_19np EUROPOP2023 baseline
FR,2027,68335925,Eurostat proj_19np EUROPOP2023 baseline
FR,2028,68477954,Eurostat proj_19np EUROPOP2023 baseline
FR,2029,68615684,Eurostat proj_19np EUROPOP2023 baseline
FR,2030,68749400,Eurostat proj_19np EUROPOP2023 baseline
FR,2031,68879194,Eurostat proj_19np EUROPOP2023 baseline
FR,2032,69004981,Eurostat proj_19np EUROPOP2023 baseline
FR,2033,69126434,Eurostat proj_19np EUROPOP2023 baseline
FR,2034,69243089,Eurostat proj_19np EUROPOP2023 baseline
FR,2035,69354321,Eurostat proj_19np EUROPOP2023 baseline
FR,2036,69459440,Eurostat proj_19np EUROPOP2023 baseline
FR,2037,69557590,Eurostat proj_19np EUROPOP2023 baseline
FR,2038,69647993,Eurostat proj_19np EUROPOP2023 baseline
FR,2039,69729806,Eurostat proj_19np EUROPOP2023 baseline
FR,2040,69802409,Eurostat proj_19np EUROPOP2023 baseline
FR,2041,69865298,Eurostat proj_19np EUROPOP2023 baseline
FR,2042,69918087,Eurostat proj_19np EUROPOP2023 baseline
FR,2043,69960556,Eurostat proj_19np EUROPOP2023 baseline
FR,2044,69992967,Eurostat proj_19np EUROPOP2023 baseline
FR,2045,70015780,Eurostat proj_19np EUROPOP2023 baseline
FR,2046,70029607,Eurostat proj_19np EUROPOP2023 baseline
FR,2047,70035051,Eurostat proj_19np EUROPOP2023 baseline
FR,2048,70033175,Eurostat proj_19np EUROPOP2023 baseline
FR,2049,70024900,Eurostat proj_19np EUROPOP2023 baseline
FR,2050,70010903,Eurostat proj_19np EUROPOP2023 baseline
HR,2025,3936509,Eurostat proj_19np EUROPOP2023 baseline
HR,2026,3914549,Eurostat proj_19np EUROPOP2023 baseline
HR,2027,3892742,Eurostat proj_19np EUROPOP2023 baseline
HR,2028,3871071,Eurostat proj_19np EUROPOP2023 baseline
HR,2029,3849534,Eurostat proj_19np EUROPOP2023 baseline
HR,2030,3828089,Eurostat proj_19np EUROPOP2023 baseline
HR,2031,3806697,Eurostat proj_19np EUROPOP2023 baseline
HR,2032,3785328,Eurostat proj_19np EUROPOP2023 baseline
HR,2033,3763939,Eurostat proj_19np EUROPOP2023 baseline
HR,2034,3742515,Eurostat proj_19np EUROPOP2023 baseline
HR,2035,3721032,Eurostat proj_19np EUROPOP2023 baseline
HR,2036,3699477,Eurostat proj_19np EUROPOP2023 baseline
HR,2037,3677860,Eurostat proj_19np EUROPOP2023 baseline
HR,2038,3656152,Eurostat proj_19np EUROPOP2023 baseline
HR,2039,3634362,Eurostat proj_19np EUROPOP2023 baseline
HR,2040,3612487,Eurostat proj_19np EUROPOP2023 baseline
HR,2041,3590535,Eurostat proj_19np EUROPOP2023 baseline
HR,2042,3568488,Eurostat proj_19np EUROPOP2023 baseline
HR,2043,3546385,Eurostat proj_19np EUROPOP2023 baseline
HR,2044,3524245,Eurostat proj_19np EUROPOP2023 baseline
HR,2045,3502067,Eurostat proj_19np EUROPOP2023 baseline
HR,2046,3479928,Eurostat proj_19np EUROPOP2023 baseline
HR,2047,3457866,Eurostat proj_19np EUROPOP2023 baseline
HR,2048,3435918,Eurostat proj_19np EUROPOP2023 baseline
HR,2049,3414127,Eurostat proj_19np EUROPOP2023 baseline
HR,2050,3392559,Eurostat proj_19np EUROPOP2023 baseline
HU,2025,9697220,Eurostat proj_19np EUROPOP2023 baseline
HU,2026,9681703,Eurostat proj_19np EUROPOP2023 baseline
HU,2027,9666323,Eurostat proj_19np EUROPOP2023 baseline
HU,2028,9650842,Eurostat proj_19np EUROPOP2023 baseline
HU,2029,9635103,Eurostat proj_19np EUROPOP2023 baseline
HU,2030,9619020,Eurostat proj_19np EUROPOP2023 baseline
HU,2031,9602533,Eurostat proj_19np EUROPOP2023 baseline
HU,2032,9585638,Eurostat proj_19np EUROPOP2023 baseline
HU,2033,9568349,Eurostat proj_19np EUROPOP2023 baseline
HU,2034,9550738,Eurostat proj_19np EUROPOP2023 baseline
HU,2035,9532830,Eurostat proj_19np EUROPOP2023 baseline
HU,2036,9514726,Eurostat proj_19np EUROPOP2023 baseline
HU,2037,9496464,Eurostat proj_19np EUROPOP2023 baseline
HU,2038,9478090,Eurostat proj_19np EUROPOP2023 baseline
HU,2039,9459626,Eurostat proj_19np EUROPOP2023 baseline
HU,2040,9441139,Eurostat proj_19np EUROPOP2023 baseline
HU,2041,9422683,Eurostat proj_19np EUROPOP2023 baseline
HU,2042,9404321,Eurostat proj_19np EUROPOP2023 baseline
HU,2043,9386159,Eurostat proj_19np EUROPOP2023 baseline
HU,2044,9368283,Eurostat proj_19np EUROPOP2023 baseline
HU,2045,9350754,Eurostat proj_19np EUROPOP2023 baseline
HU,2046,9333691,Eurostat proj_19np EUROPOP2023 baseline
HU,2047,9317114,Eurostat proj_19np EUROPOP2023 baseline
HU,2048,9301058,Eurostat proj_19np EUROPOP2023 baseline
HU,2049,9285485,Eurostat proj_19np EUROPOP2023 baseline
HU,2050,9270352,Eurostat proj_19np EUROPOP2023 baseline
IE,2025,5272930,Eurostat proj_19np EUROPOP2023 baseline
IE,2026,5321303,Eurostat proj_19np EUROPOP2023 baseline
IE,2027,5368535,Eurostat proj_19np EUROPOP2023 baseline
IE,2028,5414726,Eurostat proj_19np EUROPOP2023 baseline
IE,2029,5459990,Eurostat proj_19np EUROPOP2023 baseline
