n_person,building,unit,geo,2021
1,NRES,NR,DE22A,854
1,NRES,NR,DE22B,383
1,NRES,NR,DE22C,407
1,NRES,NR,DE23,4575
1,NRES,NR,DE231,188
1,NRES,NR,DE232,503
1,NRES,NR,DE233,200
1,NRES,NR,DE234,446
1,NRES,NR,DE235,637
1,NRES,NR,DE236,767
1,NRES,NR,DE237,365
1,NRES,NR,DE238,523
1,NRES,NR,DE239,607
1,NRES,NR,DE23A,342
1,NRES,NR,DE24,4824
1,NRES,NR,DE241,408
1,NRES,NR,DE242,347
1,NRES,NR,DE243,263
1,NRES,NR,DE244,245
1,NRES,NR,DE245,492
1,NRES,NR,DE246,396
1,NRES,NR,DE247,399
1,NRES,NR,DE248,398
1,NRES,NR,DE249,474
1,NRES,NR,DE24A,343
1,NRES,NR,DE24B,350
1,NRES,NR,DE24C,342
1,NRES,NR,DE24D,362
1,NRES,NR,DE25,7757
1,NRES,NR,DE251,181
1,NRES,NR,DE252,317
1,NRES,NR,DE253,462
1,NRES,NR,DE254,2692
1,NRES,NR,DE255,204
1,NRES,NR,DE256,1024
1,NRES,NR,DE257,491
1,NRES,NR,DE258,363
1,NRES,NR,DE259,620
1,NRES,NR,DE25A,484
1,NRES,NR,DE25B,458
1,NRES,NR,DE25C,457
1,NRES,NR,DE26,5418
1,NRES,NR,DE261,365
1,NRES,NR,DE262,229
1,NRES,NR,DE263,645
1,NRES,NR,DE264,612
1,NRES,NR,DE265,432
1,NRES,NR,DE266,417
1,NRES,NR,DE267,392
1,NRES,NR,DE268,415
1,NRES,NR,DE269,594
1,NRES,NR,DE26A,548
1,NRES,NR,DE26B,310
1,NRES,NR,DE26C,452
1,NRES,NR,DE27,9284
1,NRES,NR,DE271,829
1,NRES,NR,DE272,232
1,NRES,NR,DE273,463
1,NRES,NR,DE274,310
1,NRES,NR,DE275,340
1,NRES,NR,DE276,839
1,NRES,NR,DE277,500
1,NRES,NR,DE278,682
1,NRES,NR,DE279,575
1,NRES,NR,DE27A,649
1,NRES,NR,DE27B,1034
1,NRES,NR,DE27C,1022
1,NRES,NR,DE27D,554
1,NRES,NR,DE27E,1254
1,NRES,NR,DE3,32323
1,NRES,NR,DE30,32323
1,NRES,NR,DE300,32323
1,NRES,NR,DE4,9363
1,NRES,NR,DE40,9363
1,NRES,NR,DE401,392
1,NRES,NR,DE402,363
1,NRES,NR,DE403,213
1,NRES,NR,DE404,456
1,NRES,NR,DE405,635
1,NRES,NR,DE406,604
1,NRES,NR,DE407,553
1,NRES,NR,DE408,463
1,NRES,NR,DE409,691
1,NRES,NR,DE40A,786
1,NRES,NR,DE40B,556
1,NRES,NR,DE40C,544
1,NRES,NR,DE40D,381
1,NRES,NR,DE40E,624
1,NRES,NR,DE40F,504
1,NRES,NR,DE40G,460
1,NRES,NR,DE40H,600
1,NRES,NR,DE40I,538
1,NRES,NR,DE5,2681
1,NRES,NR,DE50,2681
1,NRES,NR,DE501,2123
1,NRES,NR,DE502,559
1,NRES,NR,DE6,6672
1,NRES,NR,DE60,6672
1,NRES,NR,DE600,6672
1,NRES,NR,DE7,24356
1,NRES,NR,DE71,14830
1,NRES,NR,DE711,866
1,NRES,NR,DE712,2691
1,NRES,NR,DE713,401
1,NRES,NR,DE714,1065
1,NRES,NR,DE715,1028
1,NRES,NR,DE716,1074
1,NRES,NR,DE717,1026
1,NRES,NR,DE718,938
1,NRES,NR,DE719,1500
1,NRES,NR,DE71A,559
1,NRES,NR,DE71B,429
1,NRES,NR,DE71C,1278
1,NRES,NR,DE71D,727
1,NRES,NR,DE71E,1249
1,NRES,NR,DE72,4111
1,NRES,NR,DE721,975
1,NRES,NR,DE722,908
1,NRES,NR,DE723,728
1,NRES,NR,DE724,1010
1,NRES,NR,DE725,495
1,NRES,NR,DE73,5419
1,NRES,NR,DE731,999
1,NRES,NR,DE732,912
1,NRES,NR,DE733,602
1,NRES,NR,DE734,784
1,NRES,NR,DE735,648
1,NRES,NR,DE736,965
1,NRES,NR,DE737,505
1,NRES,NR,DE8,6960
1,NRES,NR,DE80,6960
1,NRES,NR,DE803,592
1,NRES,NR,DE804,430
1,NRES,NR,DE80J,1098
1,NRES,NR,DE80K,897
1,NRES,NR,DE80L,1169
1,NRES,NR,DE80M,571
1,NRES,NR,DE80N,1148
1,NRES,NR,DE80O,1046
1,NRES,NR,DE9,37314
1,NRES,NR,DE91,6541
1,NRES,NR,DE911,844
1,NRES,NR,DE912,365
1,NRES,NR,DE913,346
1,NRES,NR,DE914,691
1,NRES,NR,DE916,676
1,NRES,NR,DE917,363
1,NRES,NR,DE918,709
1,NRES,NR,DE91A,528
1,NRES,NR,DE91B,375
1,NRES,NR,DE91C,1643
1,NRES,NR,DE92,8330
1,NRES,NR,DE922,1247
1,NRES,NR,DE923,636
1,NRES,NR,DE925,1012
1,NRES,NR,DE926,359
1,NRES,NR,DE927,719
1,NRES,NR,DE928,931
1,NRES,NR,DE929,3431
1,NRES,NR,DE93,8001
1,NRES,NR,DE931,655
1,NRES,NR,DE932,868
1,NRES,NR,DE933,950
1,NRES,NR,DE934,417
1,NRES,NR,DE935,938
1,NRES,NR,DE936,581
1,NRES,NR,DE937,892
1,NRES,NR,DE938,755
1,NRES,NR,DE939,777
1,NRES,NR,DE93A,509
1,NRES,NR,DE93B,660
1,NRES,NR,DE94,14439
1,NRES,NR,DE941,422
1,NRES,NR,DE942,283
1,NRES,NR,DE943,751
1,NRES,NR,DE944,868
1,NRES,NR,DE945,454
1,NRES,NR,DE946,661
1,NRES,NR,DE947,1466
1,NRES,NR,DE948,779
1,NRES,NR,DE949,1811
1,NRES,NR,DE94A,772
1,NRES,NR,DE94B,577
1,NRES,NR,DE94C,1060
1,NRES,NR,DE94D,735
1,NRES,NR,DE94E,1915
1,NRES,NR,DE94F,744
1,NRES,NR,DE94G,501
1,NRES,NR,DE94H,645
1,NRES,NR,DEA,68972
1,NRES,NR,DEA1,18140
1,NRES,NR,DEA11,3108
1,NRES,NR,DEA12,1220
1,NRES,NR,DEA13,1507
1,NRES,NR,DEA14,1036
1,NRES,NR,DEA15,901
1,NRES,NR,DEA16,593
1,NRES,NR,DEA17,610
1,NRES,NR,DEA18,270
1,NRES,NR,DEA19,871
1,NRES,NR,DEA1A,905
1,NRES,NR,DEA1B,1397
1,NRES,NR,DEA1C,1660
1,NRES,NR,DEA1D,1296
1,NRES,NR,DEA1E,1195
1,NRES,NR,DEA1F,1571
1,NRES,NR,DEA2,19262
1,NRES,NR,DEA22,1529
1,NRES,NR,DEA23,6620
1,NRES,NR,DEA24,344
1,NRES,NR,DEA26,854
1,NRES,NR,DEA27,1556
1,NRES,NR,DEA28,868
1,NRES,NR,DEA29,1016
1,NRES,NR,DEA2A,913
1,NRES,NR,DEA2B,1076
1,NRES,NR,DEA2C,1888
1,NRES,NR,DEA2D,2604
1,NRES,NR,DEA3,9872
1,NRES,NR,DEA31,246
1,NRES,NR,DEA32,638
1,NRES,NR,DEA33,1870
1,NRES,NR,DEA34,1475
1,NRES,NR,DEA35,862
1,NRES,NR,DEA36,1724
1,NRES,NR,DEA37,1911
1,NRES,NR,DEA38,1146
1,NRES,NR,DEA4,8466
1,NRES,NR,DEA41,1280
1,NRES,NR,DEA42,1535
1,NRES,NR,DEA43,1113
1,NRES,NR,DEA44,548
1,NRES,NR,DEA45,1400
1,NRES,NR,DEA46,1674
1,NRES,NR,DEA47,922
1,NRES,NR,DEA5,13231
1,NRES,NR,DEA51,1003
1,NRES,NR,DEA52,2551
1,NRES,NR,DEA53,696
1,NRES,NR,DEA54,511
1,NRES,NR,DEA55,457
1,NRES,NR,DEA56,1111
1,NRES,NR,DEA57,1216
1,NRES,NR,DEA58,1574
1,NRES,NR,DEA59,525
1,NRES,NR,DEA5A,1274
1,NRES,NR,DEA5B,1135
1,NRES,NR,DEA5C,1173
1,NRES,NR,DEB,18055
1,NRES,NR,DEB1,6611
1,NRES,NR,DEB11,509
1,NRES,NR,DEB12,573
1,NRES,NR,DEB13,564
1,NRES,NR,DEB14,746
1,NRES,NR,DEB15,421
1,NRES,NR,DEB17,854
1,NRES,NR,DEB18,761
1,NRES,NR,DEB1A,569
1,NRES,NR,DEB1B,739
1,NRES,NR,DEB1C,361
1,NRES,NR,DEB1D,517
1,NRES,NR,DEB2,2885
1,NRES,NR,DEB21,742
1,NRES,NR,DEB22,664
1,NRES,NR,DEB23,555
1,NRES,NR,DEB24,327
1,NRES,NR,DEB25,590
1,NRES,NR,DEB3,8560
1,NRES,NR,DEB31,196
1,NRES,NR,DEB32,418
1,NRES,NR,DEB33,295
1,NRES,NR,DEB34,740
1,NRES,NR,DEB35,926
1,NRES,NR,DEB36,240
1,NRES,NR,DEB37,246
1,NRES,NR,DEB38,249
1,NRES,NR,DEB39,449
1,NRES,NR,DEB3A,125
1,NRES,NR,DEB3B,553
1,NRES,NR,DEB3C,530
1,NRES,NR,DEB3D,266
1,NRES,NR,DEB3E,484
1,NRES,NR,DEB3F,357
1,NRES,NR,DEB3G,281
1,NRES,NR,DEB3H,565
1,NRES,NR,DEB3I,535
1,NRES,NR,DEB3J,814
1,NRES,NR,DEB3K,299
1,NRES,NR,DEC,3773
1,NRES,NR,DEC0,3773
1,NRES,NR,DEC01,1400
1,NRES,NR,DEC02,427
1,NRES,NR,DEC03,404
1,NRES,NR,DEC04,726
1,NRES,NR,DEC05,514
1,NRES,NR,DEC06,310
1,NRES,NR,DED,19619
1,NRES,NR,DED2,7181
1,NRES,NR,DED21,1943
1,NRES,NR,DED2C,1370
1,NRES,NR,DED2D,1411
1,NRES,NR,DED2E,1118
1,NRES,NR,DED2F,1336
1,NRES,NR,DED4,6826
1,NRES,NR,DED41,861
1,NRES,NR,DED42,1683
1,NRES,NR,DED43,1543
1,NRES,NR,DED44,1149
1,NRES,NR,DED45,1590
1,NRES,NR,DED5,5614
1,NRES,NR,DED51,3438
1,NRES,NR,DED52,1249
1,NRES,NR,DED53,928
1,NRES,NR,DEE,12061
1,NRES,NR,DEE0,12061
1,NRES,NR,DEE01,308
1,NRES,NR,DEE02,3900
1,NRES,NR,DEE03,1199
1,NRES,NR,DEE04,361
1,NRES,NR,DEE05,569
1,NRES,NR,DEE06,351
1,NRES,NR,DEE07,672
1,NRES,NR,DEE08,706
1,NRES,NR,DEE09,788
1,NRES,NR,DEE0A,585
1,NRES,NR,DEE0B,713
1,NRES,NR,DEE0C,772
1,NRES,NR,DEE0D,414
1,NRES,NR,DEE0E,718
1,NRES,NR,DEF,14200
1,NRES,NR,DEF0,14200
1,NRES,NR,DEF01,232
1,NRES,NR,DEF02,1203
1,NRES,NR,DEF03,857
1,NRES,NR,DEF04,249
1,NRES,NR,DEF05,902
1,NRES,NR,DEF06,885
1,NRES,NR,DEF07,1470
1,NRES,NR,DEF08,1371
1,NRES,NR,DEF09,1320
1,NRES,NR,DEF0A,660
1,NRES,NR,DEF0B,1313
1,NRES,NR,DEF0C,952
1,NRES,NR,DEF0D,1207
1,NRES,NR,DEF0E,747
1,NRES,NR,DEF0F,827
1,NRES,NR,DEG,10499
1,NRES,NR,DEG0,10499
1,NRES,NR,DEG01,886
1,NRES,NR,DEG02,370
1,NRES,NR,DEG03,508
1,NRES,NR,DEG04,185
1,NRES,NR,DEG05,341
1,NRES,NR,DEG06,456
1,NRES,NR,DEG07,279
1,NRES,NR,DEG09,486
1,NRES,NR,DEG0A,287
1,NRES,NR,DEG0B,551
1,NRES,NR,DEG0C,721
1,NRES,NR,DEG0D,253
1,NRES,NR,DEG0E,402
1,NRES,NR,DEG0F,720
1,NRES,NR,DEG0G,420
1,NRES,NR,DEG0H,254
1,NRES,NR,DEG0I,491
1,NRES,NR,DEG0J,367
1,NRES,NR,DEG0K,740
1,NRES,NR,DEG0L,728
1,NRES,NR,DEG0M,317
1,NRES,NR,DEG0N,306
1,NRES,NR,DEG0P,435
1,NRES,NR,DEZ,0
1,NRES,NR,DEZZ,0
1,NRES,NR,DEZZZ,0
1,NRES,NR,DK,13914
1,NRES,NR,DK0,13914
1,NRES,NR,DK01,4086
1,NRES,NR,DK011,1997
1,NRES,NR,DK012,968
1,NRES,NR,DK013,1005
1,NRES,NR,DK014,116
1,NRES,NR,DK02,1906
1,NRES,NR,DK021,317
1,NRES,NR,DK022,1589
1,NRES,NR,DK03,2994
1,NRES,NR,DK031,1202
1,NRES,NR,DK032,1792
1,NRES,NR,DK04,3154
