nuts_id,country,building_type,dwellings_2021,dwellings_share,heat_2015_MWh
DEA27,DE,OTHER,1005689.0,0.6698131868790573,2769677.5277449023
DEA27,DE,SFH,267353.0,0.17806356135114992,736292.8261870049
DEA28,DE,MFH_HIGH,58563.0,0.09512045374809963,171597.29856157175
DEA28,DE,OTHER,413165.0,0.6710797307657324,1210627.8343013811
DEA28,DE,SFH,143944.0,0.23379981548616796,421774.867137047
DEA29,DE,MFH_HIGH,72984.0,0.09069073024527902,202149.63771672692
DEA29,DE,OTHER,539511.0,0.6704023699079349,1494326.882524787
DEA29,DE,SFH,192262.0,0.23890689984678604,532523.479758486
DEA2A,DE,MFH_HIGH,99885.0,0.11687130992747977,310293.3278574588
DEA2A,DE,OTHER,572799.0,0.6702084342508934,1779403.392936122
DEA2A,DE,SFH,181974.0,0.2129202558216269,565303.2792064195
DEA2B,DE,MFH_HIGH,133494.0,0.1474539033962314,394144.2837781265
DEA2B,DE,OTHER,606724.0,0.6701711094444328,1791367.375544969
DEA2B,DE,SFH,165109.0,0.1823749871593358,487488.3406769046
DEA2C,DE,MFH_HIGH,244852.0,0.12890054549991525,706246.0887940357
DEA2C,DE,OTHER,1272192.0,0.6697361785103988,3669484.522058475
DEA2C,DE,SFH,382498.0,0.20136327598968592,1103269.389147489
DEA2D,DE,MFH_HIGH,382321.0,0.19839950265331138,1080285.2919472805
DEA2D,DE,OTHER,1292164.0,0.6705482956638883,3651135.469889872
DEA2D,DE,SFH,252541.0,0.13105220168280032,713579.2381628478
DEA31,DE,MFH_HIGH,77330.0,0.20200410643288907,199176.04894282864
DEA31,DE,OTHER,256134.0,0.6690821129843736,659714.9634025923
DEA31,DE,SFH,49350.0,0.1289137805827373,127108.98765457899
DEA32,DE,MFH_HIGH,230734.0,0.2643897587268994,584830.1463039014
DEA32,DE,OTHER,584048.0,0.6692395130536815,1480357.8028747435
DEA32,DE,SFH,57922.0,0.06637072821941918,146812.05082135522
DEA33,DE,MFH_HIGH,239548.0,0.22739552818285202,718569.8690578124
DEA33,DE,OTHER,706441.0,0.6706026530174418,2119104.383535116
DEA33,DE,SFH,107453.0,0.1020018187997061,322325.7474070713
DEA34,DE,MFH_HIGH,106377.0,0.09468340955334303,307721.08104836487
DEA34,DE,OTHER,754288.0,0.6713721915937845,2181959.6226797993
DEA34,DE,SFH,262837.0,0.23394439885287255,760319.2962718358
DEA35,DE,MFH_HIGH,66249.0,0.09835211330334477,193065.1984144658
DEA35,DE,OTHER,452418.0,0.6716518950697011,1318452.6700218234
DEA35,DE,SFH,154923.0,0.22999599162695408,451482.13156371086
DEA36,DE,MFH_HIGH,384450.0,0.19008991012942628,1026105.334878643
DEA36,DE,OTHER,1354019.0,0.6694897906711813,3613905.8900430365
DEA36,DE,SFH,283995.0,0.14042029919939242,757988.7750783203
DEA37,DE,MFH_HIGH,131586.0,0.09679562107691436,386504.91496011906
DEA37,DE,OTHER,912885.0,0.6715248624230463,2681398.775655224
DEA37,DE,SFH,314950.0,0.23167951650003935,925096.3093846571
DEA38,DE,MFH_HIGH,100882.0,0.1172540683030925,294073.20330415596
DEA38,DE,OTHER,577809.0,0.6715812132208082,1684325.682757787
DEA38,DE,SFH,181680.0,0.21116471847609927,529601.113938057
DEA41,DE,MFH_HIGH,242532.0,0.22020057852905447,690769.2148456438
DEA41,DE,OTHER,737987.0,0.6700359719415224,2101902.843980556
DEA41,DE,SFH,120895.0,0.10976344952942309,344327.9411738002
DEA42,DE,MFH_HIGH,150050.0,0.13541599921304398,444029.0614195712
DEA42,DE,OTHER,744108.0,0.6715370099461495,2201969.8556134244
DEA42,DE,SFH,213909.0,0.19304699084080656,633001.0829670047
DEA43,DE,MFH_HIGH,95087.0,0.12049583655945591,290997.44529108604
DEA43,DE,OTHER,530043.0,0.6716793536180938,1622105.6389876965
DEA43,DE,SFH,164001.0,0.20782480982245027,501896.9157212174
DEA44,DE,MFH_HIGH,41313.0,0.0962029266293464,139686.64946581097
DEA44,DE,OTHER,288330.0,0.6714155310686575,974895.3511116906
DEA44,DE,SFH,99793.0,0.23238154230199612,337417.99942249834
DEA45,DE,MFH_HIGH,145637.0,0.13254246697518646,450379.30278168357
DEA45,DE,OTHER,737260.0,0.6709713822869598,2279960.7570110895
DEA45,DE,SFH,215898.0,0.19648615073785375,667659.940207227
DEA46,DE,MFH_HIGH,113159.0,0.11569278774438989,361077.19055024086
DEA46,DE,OTHER,658434.0,0.6731772550631377,2100986.213052053
DEA46,DE,SFH,206506.0,0.21112995719247232,658936.5963977061
DEA47,DE,MFH_HIGH,147283.0,0.1502337409051174,415546.5273435547
DEA47,DE,OTHER,656650.0,0.6698056528271786,1852682.4357199762
DEA47,DE,SFH,176426.0,0.17996060626770397,497771.03693646914
DEA51,DE,MFH_HIGH,316093.0,0.25545449035256085,884383.4456005656
DEA51,DE,OTHER,828002.0,0.669160117183554,2316632.325689464
DEA51,DE,SFH,93280.0,0.07538539246388525,260984.22870997072
DEA52,DE,MFH_HIGH,513910.0,0.251732309769218,1374961.8759594688
DEA52,DE,OTHER,1367694.0,0.6699475972008735,3659253.775911171
DEA52,DE,SFH,159890.0,0.07832009302990849,427784.3481293601
DEA53,DE,MFH_HIGH,158821.0,0.2524879813806786,454983.34244798287
DEA53,DE,OTHER,421408.0,0.6699394617693443,1207230.9101083584
DEA53,DE,SFH,48795.0,0.0775725568499771,139785.74744365874
DEA54,DE,MFH_HIGH,105825.0,0.18459694806689972,297016.48943964165
DEA54,DE,OTHER,383878.0,0.6696216133241231,1077421.175838514
DEA54,DE,SFH,83573.0,0.1457814386089772,234562.3347218443
DEA55,DE,MFH_HIGH,134341.0,0.2579680701121041,349030.7988616768
DEA55,DE,OTHER,348628.0,0.6694523067942224,905768.9710925829
DEA55,DE,SFH,37797.0,0.07257962309367355,98200.23004574032
DEA56,DE,MFH_HIGH,222805.0,0.21076026179847873,650406.1679101053
DEA56,DE,OTHER,708453.0,0.6701543491031066,2068096.321332187
DEA56,DE,SFH,125891.0,0.11908538909841469,367497.51075770776
DEA57,DE,MFH_HIGH,99045.0,0.12034877998694991,339864.95468314656
DEA57,DE,OTHER,552802.0,0.6717052478605269,1896895.6199581278
DEA57,DE,SFH,171136.0,0.2079459721525232,587239.4253587255
DEA58,DE,MFH_HIGH,234813.0,0.17749733541964305,706794.3896410186
DEA58,DE,OTHER,887304.0,0.6707213642651427,2670812.4725037985
DEA58,DE,SFH,200793.0,0.1517813003152142,604393.137855183
DEA59,DE,MFH_HIGH,41282.0,0.1008824341595615,139823.05374515223
DEA59,DE,OTHER,274480.0,0.6707574857835482,929669.8752959978
DEA59,DE,SFH,93447.0,0.22836008005689024,316507.07095884986
DEA5A,DE,MFH_HIGH,106068.0,0.12064080618285838,357941.27194454084
DEA5A,DE,OTHER,589765.0,0.6707935009468782,1990244.3173093875
DEA5A,DE,SFH,183372.0,0.20856569287026347,618814.4107460717
DEA5B,DE,MFH_HIGH,117551.0,0.12490450279292806,359724.9680436328
DEA5B,DE,OTHER,631246.0,0.6707341304627324,1931714.2957326695
DEA5B,DE,SFH,192330.0,0.2043613667443395,588560.7362236978
DEA5C,DE,MFH_HIGH,219963.0,0.17244466535011763,621663.018587174
DEA5C,DE,OTHER,854236.0,0.6696964541764892,2414255.7173062433
