nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
BE341,BE,MFH_HIGH,45698.90793194495,0.5,0.8
BE341,BE,OTHER,380949.8961051135,0.6,0.4
BE341,BE,SFH,143351.19596294154,0.9,0.3
BE342,BE,MFH_HIGH,21229.417622743957,0.5,0.8
BE342,BE,OTHER,307829.6931912746,0.6,0.4
BE342,BE,SFH,130940.88918598148,0.9,0.3
BE343,BE,MFH_HIGH,27459.202668776798,0.5,0.8
BE343,BE,OTHER,419537.2108777703,0.6,0.4
BE343,BE,SFH,180003.58645345294,0.9,0.3
BE344,BE,MFH_HIGH,25705.415006109477,0.5,0.8
BE344,BE,OTHER,431082.0010208238,0.6,0.4
BE344,BE,SFH,187212.58397306676,0.9,0.3
BE345,BE,MFH_HIGH,15468.473342514262,0.5,0.8
BE345,BE,OTHER,322562.1188274641,0.6,0.4
BE345,BE,SFH,143969.40783002164,0.9,0.3
BE351,BE,MFH_HIGH,48184.99503961081,0.5,0.8
BE351,BE,OTHER,754797.1157433788,0.6,0.4
BE351,BE,SFH,325017.8892170105,0.9,0.3
BE352,BE,MFH_HIGH,212381.41795578817,0.5,0.8
BE352,BE,OTHER,2029989.6205594763,0.6,0.4
BE352,BE,SFH,791628.9614847357,0.9,0.3
BE353,BE,MFH_HIGH,16560.16993027633,0.5,0.8
BE353,BE,OTHER,443056.6160069288,0.6,0.4
BE353,BE,SFH,202383.21406279487,0.9,0.3
BEZZZ,BE,MFH_HIGH,0.0,0.5,0.8
BEZZZ,BE,OTHER,0.0,0.6,0.4
BEZZZ,BE,SFH,0.0,0.9,0.3
BG311,BG,MFH_HIGH,56191.42347712239,0.5,0.8
BG311,BG,OTHER,271349.6933572216,0.6,0.4
BG311,BG,SFH,79458.883165656,0.9,0.3
BG312,BG,MFH_HIGH,59529.4670629709,0.5,0.8
BG312,BG,OTHER,373412.8153729177,0.6,0.4
BG312,BG,SFH,127057.71756411142,0.9,0.3
BG313,BG,MFH_HIGH,90613.15832418152,0.5,0.8
BG313,BG,OTHER,460700.1909752085,0.6,0.4
BG313,BG,SFH,139686.65070061,0.9,0.3
BG314,BG,MFH_HIGH,135369.07303358195,0.5,0.8
