nuts_id,country,building_type,n_buildings,dwellings_2021,dwellings_share,heat_2015_MWh
BG313,BG,OTHER,51019,0.0,0.0,0.0
BG313,BG,SFH,111536,111536.0,0.7927671793705399,908692.240682818
BG314,BG,MFH_HIGH,9576,58002.0,0.37631625046226913,397864.9279346821
BG314,BG,OTHER,109699,0.0,0.0,0.0
BG314,BG,SFH,96129,96129.0,0.6236837495377309,1032710.5451413678
BG315,BG,MFH_HIGH,5425,33502.0,0.30950731225113864,237015.72618886657
BG315,BG,OTHER,57732,0.0,0.0,0.0
BG315,BG,SFH,74741,74741.0,0.6904926877488614,705736.2607677535
BG321,BG,MFH_HIGH,11205,68686.0,0.46011521972132907,511894.7254072136
BG321,BG,OTHER,91030,0.0,0.0,0.0
BG321,BG,SFH,80594,80594.0,0.5398847802786709,1013086.4920217054
BG322,BG,MFH_HIGH,4718,37786.0,0.4581620651607193,239617.61248550913
BG322,BG,OTHER,44065,0.0,0.0,0.0
BG322,BG,SFH,44687,44687.0,0.5418379348392808,444794.8759798604
BG323,BG,MFH_HIGH,6170,41066.0,0.43135648410747673,443969.53669861576
BG323,BG,OTHER,67591,0.0,0.0,0.0
BG323,BG,SFH,54136,54136.0,0.5686435158925233,605351.0828069032
BG324,BG,MFH_HIGH,4732,29750.0,0.517895689715201,199286.41406725152
BG324,BG,OTHER,31248,0.0,0.0,0.0
BG324,BG,SFH,27694,27694.0,0.4821043102847991,351515.4575992781
BG325,BG,MFH_HIGH,5135,31006.0,0.4493753442128757,202374.97290914226
BG325,BG,OTHER,50542,0.0,0.0,0.0
BG325,BG,SFH,37992,37992.0,0.5506246557871243,484165.5728131645
BG331,BG,MFH_HIGH,12700,89780.0,0.4847261065339222,943554.2036875791
BG331,BG,OTHER,79655,0.0,0.0,0.0
BG331,BG,SFH,95438,95438.0,0.5152738934660778,1041181.424018278
BG332,BG,MFH_HIGH,5623,36230.0,0.3839835511324494,329687.5097813332
BG332,BG,OTHER,64105,0.0,0.0,0.0
BG332,BG,SFH,58123,58123.0,0.6160164488675506,637052.3206103696
BG333,BG,MFH_HIGH,8075,49710.0,0.5382141813102933,372468.2855330419
BG333,BG,OTHER,60321,0.0,0.0,0.0
BG333,BG,SFH,42651,42651.0,0.4617858186897067,560076.8399207325
BG334,BG,MFH_HIGH,1145,6884.0,0.5765977050004188,55586.95057915143
BG334,BG,OTHER,6656,0.0,0.0,0.0
BG334,BG,SFH,5055,5055.0,0.4234022949995812,72283.34276421994
BG341,BG,MFH_HIGH,14635,96476.0,0.4801520942825291,1020110.4003748111
BG341,BG,OTHER,101573,0.0,0.0,0.0
BG341,BG,SFH,104452,104452.0,0.519847905717471,1163817.4715648172
BG342,BG,MFH_HIGH,6072,37664.0,0.3896302733122297,333082.5092183083
BG342,BG,OTHER,54632,0.0,0.0,0.0
BG342,BG,SFH,59002,59002.0,0.6103697266877702,727533.1262791703
BG343,BG,MFH_HIGH,4328,29384.0,0.3710194701886411,294999.4681588524
BG343,BG,OTHER,42032,0.0,0.0,0.0
BG343,BG,SFH,49814,49814.0,0.6289805298113589,540946.6604447701
BG344,BG,MFH_HIGH,10947,67740.0,0.38865365417053943,635396.0428588369
BG344,BG,OTHER,84190,0.0,0.0,0.0
BG344,BG,SFH,106554,106554.0,0.6113463458294606,1234429.921457709
BG411,BG,MFH_HIGH,25353,221824.0,0.7343196030203819,3169348.0212812545
BG411,BG,OTHER,100275,0.0,0.0,0.0
BG411,BG,SFH,80257,80257.0,0.26568039697961804,972628.9424411384
BG412,BG,MFH_HIGH,5571,33916.0,0.19430313029928045,228360.52194201841
BG412,BG,OTHER,109049,0.0,0.0,0.0
BG412,BG,SFH,140636,140636.0,0.8056968697007195,1303274.5725168756
